step,coverage,cum_time,info_gain,overlap,fail,dt
1.420000000000000000e+02,5.775694444440433450e-01,6.189731113006957663e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.095597657889873455e-02
1.430000000000000000e+02,5.775694444440433450e-01,6.223077420423344108e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.334630741638633378e-02
1.440000000000000000e+02,5.775694444440433450e-01,6.262319431888677457e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.924201146533308482e-02
1.450000000000000000e+02,5.775694444440433450e-01,6.313144893167522476e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.082546127884540049e-02
1.460000000000000000e+02,5.775694444440433450e-01,6.364100869746421196e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.095597657889873455e-02
1.470000000000000000e+02,5.775694444440433450e-01,6.404163017131357272e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.006214738493585337e-02
1.480000000000000000e+02,5.775694444440433450e-01,6.443501370990014188e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.933835385865677020e-02
1.490000000000000000e+02,5.775694444440433450e-01,6.483563518374950263e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.006214738493585337e-02
1.500000000000000000e+02,5.775694444440433450e-01,6.521861922395933320e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.829840402098341062e-02
1.510000000000000000e+02,5.775694444440433450e-01,6.572817898974832040e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.095597657889873455e-02
1.520000000000000000e+02,5.775694444440433450e-01,6.623588871221490315e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.077097224665848979e-02
1.530000000000000000e+02,5.775694444440433450e-01,6.662927225080147231e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.933835385865677020e-02
1.540000000000000000e+02,5.775694444440433450e-01,6.701225629101130288e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.829840402098341062e-02
1.550000000000000000e+02,5.775694444440433450e-01,6.752007505271145682e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.078187617001548443e-02
